surface_form,normalized_form,feature_type,feature_name,mapping_type,evidence_level
Asian Clintonia,asian clintonia,NOTE,Asian Clintonia,LEVEL_A_DIRECT,A
Asian lily,asian lily,NOTE,Asian lily,LEVEL_A_DIRECT,A
Asparagus,asparagus,NOTE,Asparagus,LEVEL_A_DIRECT,A
Aspen,aspen,NOTE,Aspen,LEVEL_A_DIRECT,A
Asphalt,asphalt,NOTE,Asphalt,LEVEL_A_DIRECT,A
asphault,asphault,ACCORD,asphault,LEVEL_A_DIRECT,A
Aspic,aspic,NOTE,Aspic,LEVEL_A_DIRECT,A
Assam Oud,assam oud,NOTE,Assam Oud,LEVEL_A_DIRECT,A
Assam Tea,assam tea,NOTE,Assam Tea,LEVEL_A_DIRECT,A
Astragalus,astragalus,NOTE,Astragalus,LEVEL_A_DIRECT,A
Atlas Cedar,atlas cedar,NOTE,Atlas Cedar,LEVEL_A_DIRECT,A
Australian Blue Cypress,australian blue cypress,NOTE,Australian Blue Cypress,LEVEL_A_DIRECT,A
Australian Oud,australian oud,NOTE,Australian Oud,LEVEL_A_DIRECT,A
Australian Sandalwood,australian sandalwood,NOTE,Australian Sandalwood,LEVEL_A_DIRECT,A
autumn,autumn,SEASON,autumn,ENGLISH_CONTEXT_ALIAS,A
Avocado,avocado,NOTE,Avocado,LEVEL_A_DIRECT,A
Azalea,azalea,NOTE,Azalea,LEVEL_A_DIRECT,A
Azarbre,azarbre,NOTE,Azarbre,LEVEL_A_DIRECT,A
Azolla,azolla,NOTE,Azolla,LEVEL_A_DIRECT,A
Azteca Lily,azteca lily,NOTE,Azteca Lily,LEVEL_A_DIRECT,A
Baba (Italian dessert),baba (italian dessert),NOTE,Baba (Italian dessert),LEVEL_A_DIRECT,A
Baby’s Breath,baby’s breath,NOTE,Baby’s Breath,LEVEL_A_DIRECT,A
bacon,bacon,ACCORD,bacon,LEVEL_A_DIRECT,A
Bacon,bacon,NOTE,Bacon,LEVEL_A_DIRECT,A
Bagas de Zimbro,bagas de zimbro,NOTE,Bagas de Zimbro,LEVEL_A_DIRECT,A
Baguette,baguette,NOTE,Baguette,LEVEL_A_DIRECT,A
Baie Rose,baie rose,NOTE,Baie Rose,LEVEL_A_DIRECT,A
Baileys Irish Cream,baileys irish cream,NOTE,Baileys Irish Cream,LEVEL_A_DIRECT,A
Baked Apple,baked apple,NOTE,Baked Apple,LEVEL_A_DIRECT,A
Baked Pear,baked pear,NOTE,Baked Pear,LEVEL_A_DIRECT,A
Bakhoor,bakhoor,NOTE,Bakhoor,LEVEL_A_DIRECT,A
Baking Spices,baking spices,NOTE,Baking Spices,LEVEL_A_DIRECT,A
Baklava,baklava,NOTE,Baklava,LEVEL_A_DIRECT,A
Balsam Fir,balsam fir,NOTE,Balsam Fir,LEVEL_A_DIRECT,A
balsamic,balsamic,ACCORD,balsamic,LEVEL_A_DIRECT,A
Balsamic Notes,balsamic notes,NOTE,Balsamic Notes,LEVEL_A_DIRECT,A
Balsamic Vinegar,balsamic vinegar,NOTE,Balsamic Vinegar,LEVEL_A_DIRECT,A
Bamboo,bamboo,NOTE,Bamboo,LEVEL_A_DIRECT,A
Bamboo Leaf,bamboo leaf,NOTE,Bamboo Leaf,LEVEL_A_DIRECT,A
Banana,banana,NOTE,Banana,LEVEL_A_DIRECT,A
Banana Bread,banana bread,NOTE,Banana Bread,LEVEL_A_DIRECT,A
Banana Flower,banana flower,NOTE,Banana Flower,LEVEL_A_DIRECT,A
Banana Leaf,banana leaf,NOTE,Banana Leaf,LEVEL_A_DIRECT,A
Banksia Australian,banksia australian,NOTE,Banksia Australian,LEVEL_A_DIRECT,A
Baobab,baobab,NOTE,Baobab,LEVEL_A_DIRECT,A
Barberry,barberry,NOTE,Barberry,LEVEL_A_DIRECT,A
Bark,bark,NOTE,Bark,LEVEL_A_DIRECT,A
Barley,barley,NOTE,Barley,LEVEL_A_DIRECT,A
Barnyard,barnyard,NOTE,Barnyard,LEVEL_A_DIRECT,A
Barrenwort,barrenwort,NOTE,Barrenwort,LEVEL_A_DIRECT,A
Basil,basil,NOTE,Basil,LEVEL_A_DIRECT,A
Basil Leaf,basil leaf,NOTE,Basil Leaf,LEVEL_A_DIRECT,A
Batida,batida,NOTE,Batida,LEVEL_A_DIRECT,A
Bay essence,bay essence,NOTE,Bay essence,LEVEL_A_DIRECT,A
Bay Leaf,bay leaf,NOTE,Bay Leaf,LEVEL_A_DIRECT,A
bbq,bbq,ACCORD,bbq,LEVEL_A_DIRECT,A
BBQ,bbq,NOTE,BBQ,LEVEL_A_DIRECT,A
Beach grass,beach grass,NOTE,Beach grass,LEVEL_A_DIRECT,A
Beachheather,beachheather,NOTE,Beachheather,LEVEL_A_DIRECT,A
Bearberry,bearberry,NOTE,Bearberry,LEVEL_A_DIRECT,A
Beech,beech,NOTE,Beech,LEVEL_A_DIRECT,A
Beer,beer,NOTE,Beer,LEVEL_A_DIRECT,A
Beer/Ale,beer/ale,NOTE,Beer/Ale,LEVEL_A_DIRECT,A
beeswax,beeswax,ACCORD,beeswax,LEVEL_A_DIRECT,A
Beeswax,beeswax,NOTE,Beeswax,LEVEL_A_DIRECT,A
Beetroot,beetroot,NOTE,Beetroot,LEVEL_A_DIRECT,A
