candidate_family_id,canonical_brand,normalized_fragrance_name,commercial_identity_count,has_hwahae_signal,best_hwahae_rank,commercial_identity_ids,best_musinsa_rank,best_oliveyoung_rank,best_lotte_rank,family_priority_rrf
cf_519627b8a7d9,Mancera,로즈 그리디,1,False,,ci_36c77bf10f8a,,,53.0,0.008849557522123894
cf_4251629a55ec,Luafee,러블리한 플로럴향 오 러브,1,False,,ci_979dd155638a,,54.0,,0.008771929824561403
cf_f2c62cb15eb0,LOIVIE,피오니 앤 화이트 머스크,2,False,,ci_93e27964ca8b|ci_89065f584687,55.0,,,0.008695652173913044
cf_25ff2ffd8ba1,Mancera,프렌치 리비에라,1,False,,ci_393fc8cf01a3,,,55.0,0.008695652173913044
cf_366fe3278c82,Atelier Faye,마이스킨벗베러,1,False,,ci_102e06f3190c,,56.0,,0.008620689655172414
cf_7fe17f19d2c9,Ralph Lauren,폴로 블루,1,False,,ci_0ff12b1de629,135.0,231.0,,0.008564631245043617
cf_61c97dbae875,훌라,퓨라,1,False,,ci_975325349265,,,57.0,0.008547008547008548
cf_452fce9de686,Montblanc,스타워커,1,False,,ci_844980499428,259.0,126.0,,0.00851114032426602
cf_8f7e15ef5da1,Etat Libre d'Orange,유 오어 썸원 라이크 유,1,False,,ci_d3072c84a2f6,58.0,,,0.00847457627118644
cf_caf05627b164,Addct,네이키드 뮤게 313,1,False,,ci_39c0948727fa,,58.0,,0.00847457627118644
cf_e1cba7c80834,훌라,우니카,1,False,,ci_e1a4a5a7dcb1,,,58.0,0.00847457627118644
cf_89829c324625,포뷰트,시그니처 애프터 선셋 남자,1,False,,ci_f1be476fac30,59.0,,,0.008403361344537815
cf_5cbeb8d4e5bd,Calvin Klein,씨케이원 나이트 에센스,1,False,,ci_ae81bd990904,,59.0,,0.008403361344537815
cf_4c36615926d0,막스앤코,모닝 캔 웨이트,1,False,,ci_a5cd171f5185,,,59.0,0.008403361344537815
cf_8e76e2f7b45c,RboW,도쿄 피그,1,False,,ci_f5761360f432,60.0,,,0.008333333333333333
cf_ea6be805a1eb,Lanvin,레 플레르 드 써니 매그놀리아,1,False,,ci_cacb957def3b,,61.0,,0.008264462809917356
cf_8d3ab524b742,막스앤코,굿 바이브스 돈 라이,1,False,,ci_d8461bafd796,,,61.0,0.008264462809917356
cf_d01d069f1af4,아비브,타입 N,1,False,,ci_db35ae58fb2c,62.0,,,0.00819672131147541
cf_284570ab8237,막스앤코,쉬 이즈 어 10,1,False,,ci_683d2418c073,,,62.0,0.00819672131147541
cf_fcc87ca6d15b,Atelier Faye,뮤게가든,1,False,,ci_12ad9e9642b2,,63.0,,0.008130081300813009
cf_46ebad12da22,Essential Parfums,에센셜 나이스 베르가못 바이 앙투완메종디유 2종,1,False,,ci_0e762e9fa72f,,,63.0,0.008130081300813009
cf_5f86d7db7692,Forment,시그니처 코튼 디어 나잇,1,False,,ci_9393b93d0ce6,64.0,,,0.008064516129032258
